"","exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"21","isolation_cat_nominal","IFN_lambda1","isolation_cat_nominalSomewhat Isolated",-0.6040746598,0.255307692799112,-2.36606524925716,0.0198488275730755,-1.10447773768626,-0.103671581913741
"22","social_relationships_d","IFN_alpha2","social_relationships_dHigh",0.69265885017732,0.295712827041674,2.34233616818964,0.0210493326781827,0.113061709175639,1.272255991179
"23","isolation_cat_d","sTREM_1","isolation_cat_dHigh",-0.608252518545854,0.260012148404982,-2.33932345960416,0.0212111294636817,-1.11787632941962,-0.0986287076720889
"24","isolation_cat_nominal","IFN_lambda2_3","isolation_cat_nominalVery Isolated",-0.693726387767619,0.298263411048296,-2.32588497975465,0.0219841404018018,-1.27832267342228,-0.109130102112958
"25","isolation_item_visit","MCP_1","isolation_item_visit3",-1.23142827287692,0.53021775447483,-2.32249535683057,0.0222330918443129,-2.27065507164759,-0.192201474106257
"26","isolation_cat_d","IFN_lambda2_3","isolation_cat_dHigh",-0.52366977879317,0.229144760689853,-2.28532294265265,0.0243033957370478,-0.972793509745282,-0.0745460478410591
"27","social_relationships_d","IL_12p70","social_relationships_dHigh",0.740027167634021,0.328073070792526,2.25567787641435,0.0261641713630167,0.0970039488806695,1.38305038638737
"28","isolation_item_visit","MCP_1","isolation_item_visit5",-1.32313695351429,0.589971853492003,-2.24271199665328,0.0271227901408275,-2.47948178635861,-0.166792120669959
"29","social_relationships_nominal","IL_10","social_relationships_nominalFair",-0.849189264036363,0.378860456165613,-2.24143018944461,0.0271434065109541,-1.59175575812096,-0.106622769951761
"30","isolation_cat_d","sTREM_2","isolation_cat_dHigh",0.443658883539512,0.198230711920206,2.23809357915285,0.0273259607903564,0.0551266881759083,0.832191078903116
"31","social_activities_nominal","GM_CSF","social_activities_nominalFair",-0.884352344205126,0.395367270807135,-2.23678693079409,0.0274555581174802,-1.65927219498711,-0.109432493423142
